year,occ_desc,sex1,sex2,mthly_gross_wage_50_pctile,mthly_basic_wage_50_pctile
2022,"bakers, pastry and confectionery maker",all,males,2000,1977
2022,fumigator and other pest and weed controller,all,males,2000,1913
2022,machine-tool setter-operator,all,females,1776,1649
2022,machine-tool setter-operator,all,males,3598,2689
2022,plastic products machine operator,all,females,1548,1193
2022,food and related products machine operator,all,females,2200,1800
2022,food and related products machine operator,all,males,2345,1800
2022,"printing, binding and related machine operator",all,females,1400,1400
2022,"printing, binding and related machine operator",all,males,2740,2060
2022,supervisor/general foreman of assemblers and quality checkers,all,females,3257,2611
2022,supervisor/general foreman of assemblers and quality checkers,all,males,3786,3483
2022,electrical and electronic equipment assembler,all,females,2179,1312
2022,electrical and electronic equipment assembler,all,males,2539,1887
2022,quality checker and tester,all,females,2683,1810
2022,quality checker and tester,all,males,3501,2200
2022,motorcycle delivery man,all,males,2577,2052
2022,chauffeur,all,males,2857,2583
2022,van driver,all,females,2375,2000
2022,van driver,all,males,2300,2052
2022,ambulance driver,all,males,2702,1700
2022,bus driver,all,females,4003,2300
2022,bus driver,all,males,4381,2491
2022,lorry driver,all,males,2550,2200
2022,trailer-truck driver (including prime mover driver),all,males,2463,1689
2022,waste truck driver (including hooklift trucks with roll-on containers),all,males,3529,2249
2022,excavating/trench digging machine operator,all,males,3530,2737
2022,crane/hoist operator (excluding port),all,males,4269,3000
2022,crane operator (on-site),all,males,3046,1939
2022,fork lift truck operator,all,females,2244,1828
2022,fork lift truck operator,all,males,2546,2000
2022,ships' deck crew and related worker,all,males,2319,2193
2022,cleaning supervisor,all,females,2196,1968
2022,cleaning supervisor,all,males,2400,1968
2022,cleaner and helper in hotels and related establishments,all,females,1604,1403
2022,cleaner and helper in hotels and related establishments,all,males,1646,1463
2022,"office, commercial and industrial establishments indoor cleaner",all,females,1506,1400
2022,"office, commercial and industrial establishments indoor cleaner",all,males,1550,1442
2022,"office, commercial and industrial establishments outdoor cleaner",all,females,1584,1236
2022,"office, commercial and industrial establishments outdoor cleaner",all,males,1640,1442
2022,"office, commercial and industrial establishments multi-skilled cleaner cum machine operator",all,males,1800,1494
2022,food and beverage establishments general cleaner,all,females,1450,1400
2022,food and beverage establishments general cleaner,all,males,1450,1400
2022,table-top cleaner,all,females,1400,1400
2022,table-top cleaner,all,males,1400,1400
2022,dishwasher,all,females,1740,1600
2022,dishwasher,all,males,1600,1600
2022,residential and open areas general cleaner,all,females,1589,1510
2022,residential and open areas general cleaner,all,males,2000,1650
